Facility_ID,Year,Infections_Reported,Infections_Predicted,Central_line_Days,State,HAI,Facility_Name,County,Hospital_Category_RiskAdjustment,Facility_Type,Comparison,Met_2020_Goal,Months,Notes,SIR_CI_95_Lower_Limit,SIR_CI_95_Upper_Limit,rate_per_1000,SIR_filled
110000011,2023,1.0,5.59,5911.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kaiser Foundation Hospital & Rehab Center - Vallejo,Solano,Acute Care Hospital,Major Teaching,Better,Yes,12.0,¥ See Data Dictionary,0.01,0.92,0.1691761123329386,0.17889087656529518
110000019,2021,1.0,0.25,934.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,Same,No,12.0,¥ See Data Dictionary,0.1,21.86,1.0706638115631693,4.0
110000019,2022,0.0,0.29,1066.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,Same,Yes,12.0,¥ See Data Dictionary,0.0,12.68,0.0,0.0
110000019,2023,0.0,0.2,742.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Lakeside Hospital,Lake,Critical Access Hospital,Critical Access,Same,Yes,12.0,¥ See Data Dictionary,0.0,18.22,0.0,0.0
110000021,2021,0.0,0.45,728.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mad River Community Hospital,Humboldt,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,8.24,0.0,0.0
110000021,2022,1.0,0.36,568.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mad River Community Hospital,Humboldt,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,¥ See Data Dictionary,0.07,15.53,1.7605633802816902,2.7777777777777777
110000021,2023,0.0,0.24,394.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mad River Community Hospital,Humboldt,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,15.22,0.0,0.0
110000023,2021,0.0,0.14,504.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Mendocino Coast,Mendocino,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000023,2022,1.0,0.14,531.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Mendocino Coast,Mendocino,Critical Access Hospital,Critical Access,,,12.0,,,,1.8832391713747645,7.142857142857142
110000023,2023,0.0,0.12,430.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Mendocino Coast,Mendocino,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000038,2021,4.0,2.78,4797.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sonoma Specialty Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.46,3.47,0.8338544923910778,1.4388489208633095
110000038,2022,1.0,2.21,3818.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sonoma Specialty Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,Yes,11.0,"Incomplete Reporter, Interpret with Caution",0.02,2.23,0.26191723415400736,0.45248868778280543
110000038,2023,0.0,7.9,5703.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sonoma Specialty Hospital,Sonoma,Long-Term Acute Care Hospital,Long-Term Acute Care,Better,Yes,12.0,,0.0,0.47,0.0,0.0
110000040,2021,0.0,0.93,1496.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Petaluma Valley Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,3.97,0.0,0.0
110000040,2022,0.0,0.85,1397.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Petaluma Valley Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,4.32,0.0,0.0
110000040,2023,0.0,0.85,1215.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Petaluma Valley Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,4.33,0.0,0.0
110000041,2021,5.0,2.73,4028.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Providence Queen of the Valley Medical Center,Napa,Acute Care Hospital,"Community, 125-250 Beds",Same,No,12.0,,0.69,4.17,1.2413108242303874,1.8315018315018314
110000041,2022,0.0,2.5700000000000003,3838.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Providence Queen Of The Valley Medical Center,Napa,Acute Care Hospital,"Community, 125-250 Beds",Same,Yes,12.0,,0.0,1.21,0.0,0.0
110000041,2023,6.0,2.59,3828.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Providence Queen of the Valley Medical Center,Napa,Acute Care Hospital,"Community, 125-250 Beds",Same,No,12.0,,0.73,4.41,1.567398119122257,2.316602316602317
110000044,2021,0.0,0.14,513.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000044,2022,0.0,0.11,412.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000044,2023,0.0,0.15,553.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Clearlake,Lake,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000045,2021,0.0,0.11,417.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Providence Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000045,2022,0.0,0.12,423.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Providence Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000045,2023,0.0,0.14,496.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Providence Redwood Memorial Hospital,Humboldt,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000049,2021,0.0,0.67,1065.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Coast Hospital,Del Norte,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,5.69,0.0,0.0
110000049,2022,0.0,0.48,804.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Coast Hospital,Del Norte,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,8.18,0.0,0.0
110000049,2023,0.0,0.5900000000000001,840.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Coast Hospital,Del Norte,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,6.61,0.0,0.0
110000056,2021,0.0,0.32,505.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sonoma Valley Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,11.62,0.0,0.0
110000056,2022,1.0,0.32,499.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sonoma Valley Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,¥ See Data Dictionary,0.08,17.44,2.004008016032064,3.125
110000056,2023,0.0,0.2,310.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sonoma Valley Hospital,Sonoma,Acute Care Hospital,"Community, <125 Beds",,,12.0,,,,0.0,0.0
110000057,2021,0.0,0.0,0.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,,,12.0,,,,,
110000057,2022,0.0,0.0,0.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,,,12.0,,,,,
110000057,2023,0.0,0.04,152.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Jerold Phelps Community Hospital,Humboldt,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
110000058,2021,0.0,3.18,5082.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health St. Helena,Napa,Acute Care Hospital,"Community, <125 Beds",Better,Yes,12.0,,0.0,0.94,0.0,0.0
110000058,2022,2.0,2.83,4524.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health St. Helena,Napa,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.12,2.33,0.44208664898320066,0.7067137809187279
110000058,2023,2.0,2.62,4152.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health St. Helena,Napa,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.13,2.53,0.4816955684007707,0.7633587786259541
110000067,2021,2.0,5.33,5966.0,California,Central Line-Associated Bloodstream Infection (CLABSI),"Providence St. Joseph Hospital, Eureka",Humboldt,Acute Care Hospital,Major Teaching,Same,Yes,12.0,,0.06,1.24,0.3352329869259135,0.37523452157598497
110000067,2022,0.0,4.72,5925.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Providence St. Joseph Hospital,Humboldt,Acute Care Hospital,"Community, 125-250 Beds",Better,Yes,12.0,,0.0,0.64,0.0,0.0
110000067,2023,2.0,5.24,5913.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Providence St. Joseph Hospital,Humboldt,Acute Care Hospital,Major Teaching,Same,Yes,12.0,,0.06,1.26,0.33823778116015557,0.38167938931297707
110000068,2021,0.0,2.06,3028.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Solano Medical Center,Solano,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.0,1.46,0.0,0.0
110000068,2022,1.0,2.13,3166.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Solano Medical Center,Solano,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.02,2.31,0.31585596967782686,0.4694835680751174
110000068,2023,1.0,1.53,2275.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Sutter Solano Medical Center,Solano,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.03,3.22,0.43956043956043955,0.6535947712418301
110000069,2021,0.0,0.05,83.0,California,Central Line-Associated Bloodstream Infection (CLABSI),The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,,,12.0,,,,0.0,0.0
110000069,2022,0.0,0.03,46.0,California,Central Line-Associated Bloodstream Infection (CLABSI),The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,,,9.0,"Incomplete Reporter, Interpret with Caution",,,0.0,0.0
110000069,2023,0.0,0.1,176.0,California,Central Line-Associated Bloodstream Infection (CLABSI),The General Hospital,Humboldt,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,,,12.0,,,,0.0,0.0
110000070,2021,3.0,1.31,1584.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Ukiah Valley,Mendocino,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.58,6.24,1.893939393939394,2.2900763358778624
110000070,2022,0.0,1.1,1353.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Ukiah Valley,Mendocino,Acute Care Hospital,Major Teaching,Same,Yes,12.0,,0.0,2.71,0.0,0.0
110000070,2023,0.0,0.86,1045.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Ukiah Valley,Mendocino,Acute Care Hospital,Major Teaching,Same,Yes,12.0,¥ See Data Dictionary,0.0,4.27,0.0,0.0
110000378,2021,1.0,1.52,2921.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Northbay Vacavalley Hospital,Solano,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.03,3.24,0.34234851078397804,0.6578947368421053
110000378,2022,1.0,0.83,1711.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Northbay Vacavalley Hospital,Solano,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,¥ See Data Dictionary,0.03,6.72,0.5844535359438924,1.2048192771084338
110000378,2023,1.0,0.65,1216.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Northbay Vacavalley Hospital,Solano,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,¥ See Data Dictionary,0.04,8.52,0.8223684210526315,1.5384615384615383
110000508,2021,3.0,5.21,5909.0,California,Central Line-Associated Bloodstream Infection (CLABSI),"Kaiser Foundation Hospital, Santa Rosa",Sonoma,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.15,1.57,0.507700118463361,0.5758157389635317
110000508,2022,3.0,5.84,6650.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kaiser Foundation Hospital - Santa Rosa,Sonoma,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.13,1.4,0.4511278195488722,0.5136986301369864
110000508,2023,3.0,5.05,5761.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kaiser Foundation Hospital - Santa Rosa,Sonoma,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.15,1.62,0.5207429265752473,0.594059405940594
110000944,2021,0.0,2.29,3313.0,California,Central Line-Associated Bloodstream Infection (CLABSI),"Kaiser Foundation Hospital, San Rafael",Marin,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.0,1.31,0.0,0.0
110000944,2022,0.0,2.37,3485.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kaiser Foundation Hospital - San Rafael,Marin,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.0,1.27,0.0,0.0
110000944,2023,1.0,2.56,3746.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kaiser Foundation Hospital - San Rafael,Marin,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.02,1.92,0.2669514148424986,0.390625
110000946,2021,2.0,8.25,4920.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kentfield Hospital,Marin,Long-Term Acute Care Hospital,Long-Term Acute Care,Better,Yes,9.0,"Incomplete Reporter, Interpret with Caution",0.04,0.8,0.4065040650406504,0.24242424242424243
110000946,2022,9.0,9.84,6491.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kentfield Hospital,Marin,Long-Term Acute Care Hospital,Long-Term Acute Care,Same,No,12.0,,0.45,1.68,1.386535202588199,0.9146341463414634
110000946,2023,10.0,9.69,6468.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kentfield Hospital,Marin,Long-Term Acute Care Hospital,Long-Term Acute Care,Same,No,12.0,,0.52,1.84,1.5460729746444033,1.0319917440660475
110000953,2021,1.0,3.49,4916.0,California,Central Line-Associated Bloodstream Infection (CLABSI),MarinHealth Medical Center,Marin,Acute Care Hospital,"Community, 125-250 Beds",Same,Yes,12.0,,0.01,1.41,0.2034174125305126,0.28653295128939826
110000953,2022,0.0,3.9,5539.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Marinhealth Medical Center,Marin,Acute Care Hospital,"Community, 125-250 Beds",Better,Yes,12.0,,0.0,0.77,0.0,0.0
110000953,2023,2.0,4.54,5685.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Marinhealth Medical Center,Marin,Acute Care Hospital,"Community, 125-250 Beds",Same,Yes,12.0,,0.07,1.45,0.3518029903254178,0.44052863436123346
110000982,2021,0.0,0.52,830.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Novato Community Hospital,Marin,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,7.09,0.0,0.0
110000982,2022,0.0,0.71,1126.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Novato Community Hospital,Marin,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,5.22,0.0,0.0
110000982,2023,0.0,0.52,822.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Novato Community Hospital,Marin,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,7.08,0.0,0.0
120000319,2021,0.0,0.55,936.0,California,Central Line-Associated Bloodstream Infection (CLABSI),"Good Samaritan Hospital, Bakersfield",Kern,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,6.76,0.0,0.0
120000319,2022,0.0,0.68,1149.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Good Samaritan Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,5.43,0.0,0.0
120000319,2023,0.0,0.44,757.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Good Samaritan Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,¥ See Data Dictionary,0.0,8.29,0.0,0.0
120000336,2021,3.0,1.57,2227.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Delano,Kern,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.49,5.19,1.3471037269869781,1.910828025477707
120000336,2022,1.0,1.06,1489.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Delano,Kern,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.05,4.65,0.671591672263264,0.9433962264150942
120000336,2023,1.0,0.56,792.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Delano,Kern,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,¥ See Data Dictionary,0.05,9.95,1.2626262626262628,1.7857142857142856
120000338,2021,10.0,12.27,14690.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Bakersfield Memorial Hospital,Kern,Acute Care Hospital,"Community, >250 Beds",Same,No,12.0,,0.41,1.45,0.6807351940095302,0.8149959250203749
120000338,2022,10.0,12.93,15937.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Bakersfield Memorial Hospital,Kern,Acute Care Hospital,"Community, >250 Beds",Same,No,12.0,,0.39,1.38,0.6274706657463764,0.7733952049497294
120000338,2023,9.0,16.29,15807.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Bakersfield Memorial Hospital,Kern,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.27,1.01,0.5693680015183147,0.5524861878453039
120000342,2021,19.0,7.25,7210.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,Worse,No,12.0,,1.63,4.02,2.635228848821082,2.6206896551724137
120000342,2022,5.0,4.87,5052.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.38,2.28,0.9897070467141725,1.0266940451745379
120000342,2023,4.0,4.4,4449.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kern Medical Center,Kern,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.29,2.19,0.8990784445942909,0.9090909090909091
120000344,2021,0.0,0.01,32.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
120000344,2022,0.0,0.0,6.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,
120000344,2023,0.0,0.01,43.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Kern Valley Healthcare District,Kern,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
120000404,2021,8.0,4.76,6735.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mercy Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.78,3.19,1.1878247958426134,1.680672268907563
120000404,2022,4.0,2.99,4408.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mercy Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.43,3.23,0.9074410163339383,1.3377926421404682
120000404,2023,2.0,3.09,4544.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mercy Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.11,2.14,0.44014084507042256,0.6472491909385114
120000409,2021,2.0,0.29,1058.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,Same,No,12.0,¥ See Data Dictionary,0.84,25.03,1.890359168241966,6.8965517241379315
120000409,2022,1.0,0.2,740.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,Same,No,12.0,¥ See Data Dictionary,0.13,27.6,1.3513513513513513,5.0
120000409,2023,2.0,0.12,453.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Ridgecrest Regional Hospital,Kern,Critical Access Hospital,Critical Access,,,12.0,,,,4.415011037527594,16.666666666666668
120000411,2021,20.0,17.54,16885.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Bakersfield,Kern,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.72,1.73,1.1844832691738227,1.1402508551881414
120000411,2022,15.0,14.32,13874.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Bakersfield,Kern,Acute Care Hospital,Major Teaching,Same,No,12.0,,0.61,1.69,1.081159002450627,1.047486033519553
120000411,2023,9.0,9.47,11824.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Bakersfield,Kern,Acute Care Hospital,"Community, >250 Beds",Same,No,12.0,,0.46,1.74,0.7611637347767253,0.9503695881731784
120000413,2021,1.0,0.25,912.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,Same,No,12.0,¥ See Data Dictionary,0.1,22.39,1.0964912280701753,4.0
120000413,2022,0.0,0.12,447.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
120000413,2023,0.0,0.11,386.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Adventist Health Tehachapi Valley,Kern,Critical Access Hospital,Critical Access,,,12.0,,,,0.0,0.0
120000555,2021,0.0,1.28,2209.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Encompass Health Rehabilitation Hospital of Bakersfield,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,Same,Yes,12.0,,0.0,2.35,0.0,0.0
120000555,2022,0.0,1.3,2251.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Encompass Health Rehabilitation Hospital Of Bakersfield,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,Same,Yes,12.0,,0.0,2.3,0.0,0.0
120000555,2023,0.0,1.28,2208.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Encompass Health Rehabilitation Hospital of Bakersfield,Kern,Rehabilitation Hospital or Unit,Free-Standing Rehabilitation,Same,Yes,12.0,,0.0,2.35,0.0,0.0
120000701,2021,2.0,2.51,3259.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mercy Southwest Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,,0.13,2.63,0.613685179502915,0.7968127490039841
120000701,2022,0.0,1.83,2591.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mercy Southwest Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.0,1.63,0.0,0.0
120000701,2023,0.0,1.65,2118.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Mercy Southwest Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,Yes,12.0,,0.0,1.82,0.0,0.0
120001330,2021,12.0,1.68,2654.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Bakersfield Heart Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Worse,No,12.0,,3.87,12.15,4.52147701582517,7.142857142857143
120001330,2022,1.0,0.66,1044.0,California,Central Line-Associated Bloodstream Infection (CLABSI),Bakersfield Heart Hospital,Kern,Acute Care Hospital,"Community, <125 Beds",Same,No,12.0,¥ See Data Dictionary,0.04,8.49,0.9578544061302682,1.5151515151515151
